Date,rate_ABBV,rate_VOO,Sector,rate_ABT,rate_AMGN,rate_BMY,rate_DHR,rate_GILD,rate_ISRG,rate_JNJ,rate_LLY,rate_MDT,rate_MRK,rate_PFE,rate_REGN,rate_TMO,rate_UNH
2022-01-03,0.0,0.0,Healthcare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-04,-0.1,-0.02,Healthcare,-1.17,0.25,0.2,-1.33,-0.25,-0.74,-0.13,-0.89,0.14,0.09,-1.87,-0.82,-2.03,-1.1
2022-01-05,0.17,-0.97,Healthcare,-1.38,-0.34,0.23,-1.63,-0.28,-2.5,0.2,-2.0,-0.04,1.31,-0.9,-2.55,-1.99,-1.21
2022-01-06,-0.07,-1.04,Healthcare,-1.39,-0.33,-0.32,-1.85,-0.68,-3.57,0.03,-2.24,-0.53,1.27,-1.59,-2.28,-1.85,-3.15
2022-01-07,-0.2,-1.21,Healthcare,-1.24,0.13,0.76,-3.14,-0.91,-4.94,0.7,-2.21,-0.44,2.23,-0.82,-1.86,-2.86,-4.21
2022-01-10,0.36,-1.27,Healthcare,-1.35,0.8,2.59,-1.99,-0.34,-4.77,0.45,-2.1,-0.23,3.57,-0.36,-0.46,-1.5,-3.6
2022-01-11,0.57,-0.63,Healthcare,-1.11,1.24,2.9,-1.44,-0.05,-4.24,-0.35,-1.48,1.37,3.12,0.24,0.1,-2.01,-2.99
2022-01-12,0.69,-0.4,Healthcare,-2.18,1.11,2.37,-1.19,-0.17,-5.28,-0.98,-3.26,2.12,2.81,0.18,0.73,-1.48,-2.28
2022-01-13,-0.7,-1.43,Healthcare,-4.38,0.91,2.19,-4.6,-0.55,-7.41,-1.42,-4.98,2.0,2.89,-1.29,-1.07,-4.24,-3.23
2022-01-14,0.17,-1.41,Healthcare,-5.19,1.89,2.46,-4.3,-0.67,-8.57,-1.82,-6.52,1.84,2.93,-2.07,-1.17,-4.92,-3.04
2022-01-18,0.5,-2.7,Healthcare,-6.05,1.56,2.42,-5.47,-2.05,-11.19,-2.14,-5.7,1.09,3.04,-3.18,-1.64,-5.46,-4.2
2022-01-19,-0.08,-3.45,Healthcare,-6.33,1.01,2.29,-5.79,-3.45,-11.63,-2.36,-6.26,1.28,2.87,-3.94,-0.84,-5.09,-3.97
2022-01-20,-0.88,-4.24,Healthcare,-7.05,0.48,2.17,-6.76,-4.75,-11.79,-2.94,-6.79,0.12,2.52,-3.26,-1.27,-5.68,-3.9
2022-01-21,-1.27,-5.63,Healthcare,-6.45,0.22,1.34,-7.36,-4.03,-16.75,-3.1,-6.81,-0.24,2.02,-4.93,-0.45,-6.56,-4.17
2022-01-24,-1.2,-5.34,Healthcare,-7.54,-0.13,0.59,-8.21,-3.97,-16.22,-3.92,-7.55,-1.22,1.27,-6.59,-0.44,-7.08,-4.01
2022-01-25,-0.68,-6.33,Healthcare,-7.89,-0.47,0.41,-9.81,-3.64,-18.26,-1.56,-7.86,-1.25,1.88,-5.02,-2.97,-8.16,-4.96
2022-01-26,-0.05,-6.51,Healthcare,-9.94,-1.29,0.14,-11.07,-5.46,-18.18,-1.18,-8.38,-1.32,1.57,-4.28,-2.69,-8.81,-4.68
2022-01-27,0.92,-6.91,Healthcare,-9.7,-0.81,2.09,-10.16,-5.54,-18.62,-0.06,-8.76,-2.07,2.96,-3.72,-2.21,-10.04,-4.13
2022-01-28,2.01,-4.96,Healthcare,-6.55,0.87,3.36,-7.01,-3.62,-16.27,0.55,-6.01,-2.11,3.27,-2.21,0.04,-7.58,-3.34
2022-01-31,1.44,-3.46,Healthcare,-5.2,0.21,3.33,-5.69,-3.83,-13.05,0.81,-5.92,-1.81,3.83,-4.79,-2.22,-6.34,-2.19
2022-02-01,1.46,-2.79,Healthcare,-5.21,0.78,3.63,-5.07,-3.98,-12.01,0.04,-4.75,-1.67,4.19,-4.02,-1.48,-4.29,-2.89
2022-02-02,2.47,-1.97,Healthcare,-3.31,0.87,3.11,-2.96,-7.33,-10.26,1.03,-3.88,-1.86,4.28,-2.73,-0.13,-2.89,-0.81
2022-02-03,3.79,-4.0,Healthcare,-3.26,-0.94,2.12,-4.3,-7.87,-12.26,1.03,-5.93,-2.89,1.04,-3.51,-0.43,-4.2,0.84
2022-02-04,3.74,-3.6,Healthcare,-3.53,-1.65,3.36,-4.97,-9.75,-12.22,0.43,-6.8,-2.41,0.55,-4.13,-0.11,-4.27,-0.19
2022-02-07,4.92,-3.88,Healthcare,-4.64,-1.13,4.99,-5.7,-9.93,-12.45,0.13,-6.36,-3.04,-0.5,-3.79,-0.2,-5.32,-0.09
2022-02-08,5.53,-3.15,Healthcare,-4.22,5.9,4.58,-5.56,-10.01,-12.88,0.38,-7.68,-1.04,-1.29,-6.38,-0.86,-5.25,1.76
2022-02-09,5.34,-1.81,Healthcare,-2.92,4.37,6.27,-3.58,-10.44,-10.35,0.37,-6.46,0.65,-1.74,-6.78,-0.59,-4.9,2.66
2022-02-10,5.03,-3.44,Healthcare,-4.85,1.0,5.42,-6.62,-12.56,-10.26,-0.78,-7.78,-0.44,-1.71,-8.27,-0.82,-6.34,0.49
2022-02-11,4.59,-5.24,Healthcare,-6.45,0.75,5.92,-9.57,-12.19,-12.95,-1.73,-9.19,-2.14,-1.61,-7.96,2.22,-8.44,-1.15
