Date,rate_MA_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,44.41
2019-03-01,11.29,6.13,5.16,53.15
2019-04-29,20.42,10.74,9.68,60.8
2019-06-25,25.3,9.75,15.55,70.74
2019-08-21,32.79,9.45,23.34,83.93
2019-10-17,28.7,11.38,17.32,73.74
2019-12-13,36.14,17.31,18.83,76.3
2020-02-12,51.39,23.26,28.13,92.04
2020-04-09,21.41,5.35,16.06,71.61
2020-06-08,38.45,21.76,16.69,72.67
2020-08-04,38.51,23.27,15.24,70.22
2020-09-30,42.25,22.35,19.9,78.11
2020-11-25,42.73,30.73,12.0,64.73
2021-01-26,35.61,37.01,-1.4,42.04
2021-03-24,47.16,38.04,9.12,59.85
2021-05-20,48.68,45.0,3.68,50.64
2021-07-19,46.19,46.79,-0.6,43.4
2021-09-14,40.54,49.47,-8.93,29.29
2021-11-09,38.86,55.69,-16.83,15.92
2022-01-06,47.85,54.19,-6.34,33.68
2022-03-07,25.46,37.12,-11.66,24.67
2022-05-03,42.04,34.96,7.08,56.4
2022-06-30,24.81,22.0,2.81,49.17
2022-08-26,32.85,30.79,2.06,47.9
2022-10-24,22.7,22.72,-0.02,44.38
2022-12-20,36.64,22.59,14.05,68.2
2023-02-17,42.4,30.41,11.99,64.71
2023-04-18,45.73,31.87,13.86,67.88
2023-06-14,45.57,38.27,7.3,56.77
2023-08-11,52.21,40.92,11.29,63.53
2023-10-09,48.62,35.51,13.11,66.61
2023-12-05,52.73,42.24,10.49,62.17
2024-02-02,70.53,52.79,17.74,74.45
2024-04-02,75.83,59.09,16.74,72.76
2024-05-29,61.7,60.75,0.95,46.02
2024-07-26,58.89,64.89,-6.0,34.25
