Date,rate_COST,rate_VOO,Sector,rate_KDP,rate_KO,rate_MDLZ,rate_PEP,rate_PG,rate_WMT
2022-01-03,0.0,0.0,Consumer Defensive,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-04,-0.22,-0.02,Consumer Defensive,0.75,0.83,0.36,0.07,0.17,-0.91
2022-01-05,-1.48,-0.97,Consumer Defensive,0.43,1.26,1.09,0.24,0.4,-0.25
2022-01-06,-1.49,-1.04,Consumer Defensive,0.98,0.99,1.06,0.25,-0.02,-0.39
2022-01-07,-2.69,-1.21,Consumer Defensive,0.8,0.87,1.19,0.31,-0.05,0.08
2022-01-10,-4.22,-1.27,Consumer Defensive,0.82,0.95,0.8,0.34,-0.73,-0.01
2022-01-11,-3.79,-0.63,Consumer Defensive,1.87,0.98,1.06,0.32,-1.59,-0.23
2022-01-12,-3.28,-0.4,Consumer Defensive,2.24,1.09,1.18,0.26,-1.43,-0.62
2022-01-13,-4.48,-1.43,Consumer Defensive,3.13,1.54,1.49,0.34,-1.76,0.43
2022-01-14,-6.34,-1.41,Consumer Defensive,4.81,2.16,2.01,0.76,-1.06,0.22
2022-01-18,-8.34,-2.7,Consumer Defensive,2.52,1.54,1.18,0.28,-2.48,-1.09
2022-01-19,-8.06,-3.45,Consumer Defensive,2.99,1.67,1.44,0.64,-0.05,-0.36
2022-01-20,-9.05,-4.24,Consumer Defensive,2.44,1.35,1.62,0.27,-0.05,-1.77
2022-01-21,-9.21,-5.63,Consumer Defensive,1.87,0.98,2.3,0.35,0.24,-2.3
2022-01-24,-8.23,-5.34,Consumer Defensive,2.56,0.36,1.45,0.1,-0.37,-2.29
2022-01-25,-10.08,-6.33,Consumer Defensive,2.35,0.16,0.63,-0.75,-1.31,-4.15
2022-01-26,-9.1,-6.51,Consumer Defensive,0.77,-0.16,0.15,-1.53,-2.06,-4.99
2022-01-27,-9.25,-6.91,Consumer Defensive,1.22,-0.09,1.27,-1.59,-1.53,-4.94
2022-01-28,-7.67,-4.96,Consumer Defensive,1.31,1.65,-0.11,-0.18,-0.8,-3.92
2022-01-31,-5.65,-3.46,Consumer Defensive,2.04,1.9,0.69,0.18,-0.83,-2.53
2022-02-01,-4.92,-2.79,Consumer Defensive,2.44,1.16,0.2,-0.4,-1.19,-1.76
2022-02-02,-2.66,-1.97,Consumer Defensive,3.98,2.1,1.86,1.12,0.4,-1.8
2022-02-03,-2.7,-4.0,Consumer Defensive,3.93,2.75,1.91,1.07,1.25,-1.71
2022-02-04,-3.03,-3.6,Consumer Defensive,2.69,1.76,0.66,-0.32,-0.2,-2.76
2022-02-07,-3.68,-3.88,Consumer Defensive,3.49,2.73,1.28,-0.65,-0.87,-3.62
2022-02-08,-2.76,-3.15,Consumer Defensive,4.21,3.37,2.1,-0.54,-1.08,-3.6
2022-02-09,-1.42,-1.81,Consumer Defensive,3.77,1.85,1.97,-0.58,-1.29,-3.8
2022-02-10,-3.22,-3.44,Consumer Defensive,2.75,2.39,0.27,-2.47,-2.71,-4.87
2022-02-11,-4.76,-5.24,Consumer Defensive,2.11,0.65,0.17,-2.36,-3.23,-5.36
2022-02-14,-5.31,-5.53,Consumer Defensive,2.29,1.27,-0.63,-3.35,-2.97,-6.28
2022-02-15,-3.99,-4.08,Consumer Defensive,1.84,1.65,-1.03,-3.76,-2.92,-5.99
2022-02-16,-4.26,-3.98,Consumer Defensive,1.82,1.63,-1.26,-3.57,-2.2,-6.57
2022-02-17,-3.8,-5.93,Consumer Defensive,1.82,3.61,-0.75,-3.32,-1.11,-2.92
2022-02-18,-4.21,-6.5,Consumer Defensive,3.29,4.3,-0.84,-2.79,-1.07,-3.53
2022-02-22,-6.09,-7.48,Consumer Defensive,3.52,3.87,-0.15,-2.44,-2.25,-4.58
2022-02-23,-7.33,-9.06,Consumer Defensive,2.18,2.75,-0.43,-3.36,-3.43,-5.53
2022-02-24,-5.48,-7.73,Consumer Defensive,-1.51,1.0,-2.81,-4.96,-5.96,-5.89
